PublishTime,ListNumber,Writer,RealBookPrice,EBookPrice,Discount,BookUrl,BookName,NowBookPrice,Publisher,Tuijian
2014-07-01,256.,特立独行的猫,¥32.80,¥9.60,6.3折,http://product.dangdang.com/23509506.html,不要让未来的你，讨厌现在的自己,¥20.70,武汉出版社,0%推荐
2013-01-01,257.,尼尔,¥35.00,,6.4折,http://product.dangdang.com/22925064.html,学会提问（原书第10版）（批判性思维领域的“圣经”，看见柴静诸,¥22.40,机械工业出版社,99.4%推荐
2012-01-01,258.,霍尔福德范志红,¥49.80,,6.9折,http://product.dangdang.com/22564188.html,营养圣经（最新修订版）(健康营养学经典书籍),¥34.60,北京出版社,99.4%推荐
2016-06-01,259.,耿帅,¥39.80,,7.0折,http://product.dangdang.com/23926322.html,所有失去的都会以另一种方式归来（随书附赠限量珍藏版明信片×精,¥27.70,九州出版社,99.4%推荐
2015-07-01,260.,莉兹克里莫周高逸,¥39.00,¥19.50,7.6折,http://product.dangdang.com/23738651.html,你今天真好看（火遍全球的治愈系漫画终于来到中国啦，幅幅萌点爆,¥29.60,天津人民出版社,99.5%推荐
2016-01-01,401.,大柠,¥29.80,¥2.61,6.2折,http://product.dangdang.com/23835389.html,和你在一起才是全世界,¥18.60,百花洲文艺出版社,99.4%推荐
2016-01-01,402.,王潇,¥39.00,¥8.99,7.5折,http://product.dangdang.com/23830934.html,按自己的意愿过一生（励志偶像“潇洒姐”王潇开年全新力作！）当,¥29.30,浙江文艺出版社,99.8%推荐
2015-10-01,403.,约翰·D.洛克菲勒,¥32.80,,6.2折,http://product.dangdang.com/23797275.html,洛克菲勒写给儿子的38封信,¥20.40,古吴轩出版社,100.0%推荐
2015-01-01,404.,罗伯特哈格斯特朗RobertHagstrom杨天南,¥59.00,¥25.00,6.4折,http://product.dangdang.com/23655392.html,巴菲特之道（原书第3版）,¥37.90,机械工业出版社,99.6%推荐
2014-07-01,405.,英格黄聿君,¥168.00,,5.9折,http://product.dangdang.com/23512375.html,梅格时空大冒险（套装全5册）（含《时间的皱折》[又名《时间的皱,¥99.10,江苏美术出版社,99.8%推荐
2014-03-01,406.,杨杨张皓宸,¥36.80,,6.9折,http://product.dangdang.com/23429675.html,你是最好的自己,¥25.30,湖南文艺出版社,99.3%推荐
